业务域,PB库名,PB对象类型,PB对象名称,关键事件/函数,涉及表/视图,核心状态字段,当前是否在用(是/否/待确认),使用频率(高/中/低),问题分类(耦合/冗余/性能/安全/可维护),问题描述,Python目标模块,Python API,前端页面路由,重构优先级(P0/P1/P2),迁移策略(重写/封装/保留),负责人,计划开始日期,计划完成日期,验收标准,备注
认证与会话,base_srv.pbl,Window,w_r_logon,open|oe_default|oe_cancel,用户表/权限表,登录结果码,是,高,可维护,登录逻辑依赖动态事件调用,app.api.auth,POST /api/v1/auth/login,/login,P0,重写,,,登录成功并返回JWT,,
主框架,app_main.pbl,Window,w_m_appmain,oe_openobject|oe_exit,菜单配置表,模块打开状态,是,高,耦合,模块动态加载与UI强耦合,app.api.shell,GET /api/v1/menus,/main,P0,重写,,,菜单按权限渲染,,
权限管理,app_system.pbl,UserObject,u_mc_user,oe_preupdateeditdw,tmc13_users|sys_user|sys_role_user,useflg,是,高,耦合,用户与外部系统用户同步分散,app.services.user,PUT /api/v1/users/{id},/system/users,P0,重写,,,用户状态与角色同步正确,,
菜单管理,app_system.pbl,UserObject,u_mc_menu,constructor|oe_preeditrow,菜单相关表,menucd,是,中,可维护,菜单维护逻辑可抽象,app.services.menu,GET/PUT /api/v1/menus,/system/menus,P1,重写,,,菜单增改查可用,,
用户菜单,app_system.pbl,UserObject,u_mc_usermenu,of_refreshusermenus|itemchanged,用户菜单表,usercd|menucd,是,中,可维护,保存后刷新机制需要前后端拆分,app.services.favorite_menu,PUT /api/v1/users/{id}/menus,/system/user-menus,P1,重写,,,用户个性菜单可维护,,
ITSM开通,itsm.pbl,UserObject,u_itsm_open,of_update_plan|oe_postopen|oe_postupdate,PLAN_CUST|TIT27_CLOSE_BILLS|TIT14_*,current_status,是,高,耦合,关单流程混合UI与事务,app.services.itsm.open_ticket,POST /api/v1/itsm/open-tickets/{id}/close,/itsm/open,P0,重写,,,关单与计划回写一致,,
ITSM变更,itsm02.pbl,UserObject,u_itsm_device_change,of_update_plan|oe_postopen|oe_postupdate,PLAN_CUST|TIT27_CLOSE_BILLS|过程usp_itsm_trans_in,current_status,是,高,耦合,含存储过程依赖与多表更新,app.services.itsm.device_change,POST /api/v1/itsm/device-change/{id}/close,/itsm/device-change,P0,重写,,,变更关单全链路通过,,
采购计划,purchase.pbl,UserObject,u_pc_plan,oe_dobutton1|oe_dobutton2|oe_dosave,tpc01_pcplan|明细表,useflg,是,高,可维护,送审作废流程可标准化,app.services.purchase.plan,GET/POST /api/v1/purchase/plans,/purchase/plan,P1,重写,,,采购计划全流程可用,,
销售单,sale.pbl,UserObject,u_sl_bill,oe_dobutton1|oe_dobutton2|oe_dosave,TSL10_SLBILL,useflg,是,高,安全,存在动态SQL拼接,app.services.sale.bill,GET/POST /api/v1/sale/bills,/sale/bill,P1,重写,,,避免动态SQL风险,,
质检结果,qc.pbl,UserObject,u_qc_result_manage,oe_dobutton1|oe_dosave,d_qc_result_m相关表,qcstatus,是,中,可维护,对象注释与业务语义不一致,app.services.qc.result,GET/POST /api/v1/qc/results,/qc/result,P1,重写,,,质检结果录入/审核可用,,
仓储入库,wh.pbl,UserObject,u_wh_scin,oe_dobutton1|oe_dosave,d_wh_pcin_m相关表,inbillid|status,是,中,可维护,与采购/质检流程模板重复,app.services.wh.inbound,GET/POST /api/v1/warehouse/inbound,/warehouse/inbound,P1,重写,,,入库单流程可用,,
报表,report.pbl,UserObject,u_sc_report等,oe_retrieve,报表视图/汇总表,统计期间,是,中,性能,报表SQL需分层优化,app.services.report,GET /api/v1/reports/*,/reports,P2,重写,,,关键报表响应可接受,,
低频/待确认,多个库,UserObject/Window,待补充,待补充,待补充,待补充,待确认,低,冗余,疑似历史遗留功能需业务确认,待定,待定,待定,P2,保留/下线待定,,,完成在用性评审,,
