映射ID,PB模块目录,PB对象名称,PB对象类型,Python目标包,分层归属,目标文件路径,负责人,迁移优先级,迁移状态,验收用例编号,备注
M001,app_main.pbl,模块级清单待拆解,Module,app.api.shell,api/services,app/api/shell.py；app/services/shell_service.py；app/repositories/menu_repository.py；app/repositories/opened_modules_repository.py,,P0,进行中,,C0-主框架入口（菜单链路+已开模块管理已实现，待一致性校验）
M002,app_system.pbl,模块级清单待拆解,Module,app.api.user_group,api/services/repositories,app/api/user_group.py；app/services/user_group_service.py；app/repositories/user_group_repository.py,,P0,进行中,,C0-用户角色菜单（用户组+组权限+用户菜单权限已实现，待一致性校验）
M003,base_srv.pbl,模块级清单待拆解,Module,app.api.auth,api/services/repositories,app/api/auth.py；app/services/auth_service.py；app/repositories/auth_repository.py,,P0,进行中,,C0-登录会话基础服务（登录/登出/会话管理已实现，待一致性校验）
M004,itsm.pbl,u_itsm_open|u_itsm_renovate|u_itsm_archive|w_r_itsm_rv|w_r_itsm_d2d,UserObject|UserObject|UserObject|Window|Window,app.api.maintenance|app.api.device_change|app.services.itsm,api/services/repositories,app/repositories/maintenance_repository.py；app/services/maintenance_service.py；app/services/state_machine.py；app/api/maintenance.py；app/repositories/device_change_repository.py；app/services/device_change_service.py；app/api/device_change.py；app/repositories/maintenance_renovate_repository.py；app/services/maintenance_renovate_service.py；app/api/maintenance_renovate.py；app/repositories/maintenance_daily_repository.py；app/services/maintenance_daily_service.py；app/api/maintenance_daily.py,,P0,进行中,,C0-ITSM核心流程（结合优化2统一状态机+优化新增TIT16设备变更单+磁卡号历史；P3子表已收口：TIT10_POS_DETAIL、TIT14_EQUIPMENT_OPEN、TIT15_EQUIPMENT_RENOVATE、TIT17_CUST_POS_DAILY）
M005,itsm02.pbl,u_itsm_device_change|u_itsm_store_close|u_itsm_free_replace|u_itsm_liability|u_ex_gh|u_itsm_maintenance_plan|u_itsm_liability_sum|u_itsm_pos_r_eid_update|u_itsm_liability_group|u_itsm_codetable|u_itsm_timepoint_levels|u_itsm_wh_asset_c_a_audit|u_itsm_rep_dispatch|u_itsm_rep_accessories_update|u_itsm_rep_liability|u_itsm_rep_paper_averagel,UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject|UserObject,app.api.itsm_ext|app.services.itsm_ext,api/services/repositories,app/repositories/device_change_repository.py；app/services/device_change_service.py；app/api/device_change.py；app/repositories/dispatch_report_repository.py；app/services/dispatch_report_service.py；app/api/dispatch_report.py；app/repositories/accessories_update_report_repository.py；app/services/accessories_update_report_service.py；app/api/accessories_update_report.py；app/repositories/rep_liability_report_repository.py；app/services/rep_liability_report_service.py；app/api/rep_liability_report.py；app/repositories/paper_average_report_repository.py；app/services/paper_average_report_service.py；app/api/paper_average_report.py；app/repositories/codetable_repository.py；app/services/codetable_service.py；app/api/codetable.py；app/repositories/timepoint_levels_repository.py；app/services/timepoint_levels_service.py；app/api/timepoint_levels.py；app/repositories/asset_audit_repository.py；app/services/asset_audit_service.py；app/api/asset_audit.py；app/repositories/store_close_repository.py；app/services/store_close_service.py；app/api/store_close.py；app/repositories/free_replace_repository.py；app/services/free_replace_service.py；app/api/free_replace.py；app/repositories/liability_repository.py；app/services/liability_service.py；app/api/liability.py；app/repositories/ex_gh_repository.py；app/services/ex_gh_service.py；app/api/ex_gh.py；app/repositories/maintenance_plan_repository.py；app/services/maintenance_plan_service.py；app/api/maintenance_plan.py；app/repositories/liability_sum_repository.py；app/services/liability_sum_service.py；app/api/liability_sum.py；app/repositories/pos_r_eid_update_repository.py；app/services/pos_r_eid_update_service.py；app/api/pos_r_eid_update.py；app/repositories/liability_group_repository.py；app/services/liability_group_service.py；app/api/liability_group.py,,P0,进行中,,C0-ITSM扩展流程（模块对象映射清单：docs/core/M005_itsm02_模块对象映射清单.md；已落地TIT16_DEVICE_CHANGE、TIT18_STORE_CLOSE、TIT28_FREE_REPLACE/TIT28_FREE_REPLACE_DT、TIT10_MAINTENANCE_LIABILITY、TIT03_SYSCODES、TIT01_TIMEPOINT_AREA、TWH19_ASSET_C_A/TWH20_ASSET_C_A_DTL、TIT21_MAINTENANCE_DISPATCH、TIT25_ACCESSORIES_UPDATE、V_ITSM_PAPER_AVERAGEL_DB、TSL01_EXTEND/TSL02_EXTENDDT、TIT17_MAINTENANCE_PLAN并注册应用；device_change已对齐itsm02检索口径（磁卡号/新磁卡号/维护单号/电话/日期）；rep_dispatch已对齐按分派日期区间报表检索口径；rep_accessories_update已对齐按时间范围配件更新报表检索；rep_liability已对齐责任认定报表主从查询；rep_paper_averagel已对齐纸张平均报表聚合查询；codetable已对齐按codetyp列表检索、详情编辑与系统代码不可删除约束；timepoint_levels已对齐等级定义维护与客户等级分配/清空链路；wh_asset_c_a_audit已对齐待审核列表、明细联动、审批(auditflg=2)及作废(useflg=9)链路；free_replace已对齐作废/关单PB约束；liability已对齐PB保存规则：exemptflg=Y需exceptionscd，分配/处理对应is_finish=1/2；ex_gh已对齐送审(auditflg=0->1)与作废(useflg=9并回写TSL10_SLBILL.planqty)；maintenance_plan已对齐历史年月不可增删改与按年逐月生成规则；liability_sum已对齐按条件汇总检索、明细联动与批量审核is_finish=3规则；pos_r_eid_update已对齐旧新配件确认、配置关系更新与is_finish=2回写规则；liability_group已对齐分部门过滤与is_finish(1/2)处理链路）
M006,base_cust.pbl,u_mm_customer|w_customers_newdata|u_mm_item,UserObject|Window|UserObject,app.api.customer|app.services.master_data,api/services/repositories,app/api/customer.py；app/services/customer_service.py；app/repositories/customer_repository.py；app/services/asset_service.py；app/repositories/asset_repository.py；app/services/recycle_task_service.py；app/repositories/recycle_task_repository.py；app/api/asset.py；app/api/recycle_task.py,,P0,已完成,,C0-客户主数据+资产+回收任务（结合优化1客户生命周期+优化4资产/回收任务；Phase 2已完成：质量门禁+契约统一化）
M007,sale.pbl,u_plan_befor|u_plan_imple|w_plan_cust_befor,UserObject|UserObject|Window,app.api.preplan|app.services.sale,api/services/repositories,app/repositories/preplan_repository.py；app/services/preplan_service.py；app/api/preplan.py,,P1,已完成,,C1-销售业务域预计划管理（结合优化1客户联动；Phase 2已完成：质量门禁+契约统一化）
M008,purchase.pbl,u_pc_plan|u_pc_register_examine|u_pc_plan_audit,UserObject|UserObject|UserObject,app.api.purchase,api/services/repositories,待定,,P1,进行中,,C1-采购业务域（基于数据库表结构推断：TPC01_PCPLAN采购计划+TPC12_REGISTER采购登记+TPC14_PCBILL采购单据；PB源码为二进制格式无法直接读取，需后续通过PB工具补充详细逻辑）
M009,wh.pbl,模块级清单待拆解,Module,app.services.warehouse,services/repositories,待定,,P1,待梳理,,C1-仓储业务域
M010,trans.pbl,模块级清单待拆解,Module,app.services.transfer,services/repositories,待定,,P1,待梳理,,C1-调拨流转
M011,qc.pbl,模块级清单待拆解,Module,app.services.qc,services/repositories,待定,,P1,待梳理,,C1-质检业务域
M012,price.pbl,模块级清单待拆解,Module,app.services.price,services/repositories,待定,,P1,待梳理,,C1-价格规则
M013,base_objects.pbl,模块级清单待拆解,Module,app.services.shared,services,待定,,P1,待梳理,,C1-基础对象封装
M014,base_attrib.pbl,模块级清单待拆解,Module,app.services.metadata,services/repositories,待定,,P1,待梳理,,C1-属性字典扩展
M015,new_deposit.pbl,模块级清单待拆解,Module,app.services.deposit,services/repositories,待定,,P1,待梳理,,C1-押金业务域
M016,wh_syc.pbl,模块级清单待拆解,Module,app.services.warehouse_sync,services/repositories,待定,,P1,待梳理,,C1-仓储同步待确认
M017,appraisal.pbl,模块级清单待拆解,Module,app.services.appraisal,services/repositories,待定,,P2,待梳理,,C2-考核评价
M018,kq.pbl,模块级清单待拆解,Module,app.services.attendance,services/repositories,待定,,P2,待梳理,,C2-考勤业务
M019,report.pbl,模块级清单待拆解,Module,app.services.report,services/repositories,待定,,P2,待梳理,,C2-报表统计
M020,lsgldata.pbl,模块级清单待拆解,Module,app.services.legacy_data,services/repositories,待定,,P2,待梳理,,C2-历史数据处理
M021,dw2xls.pbl,模块级清单待拆解,Module,app.services.export,services,待定,,P2,待梳理,,C2-导出工具
M022,app_d.pbl,模块级清单待拆解,Module,app.ui_compat.dialogs,extensions,待定,,P2,待梳理,,C2-界面资源待确认
M023,app_dddw.pbl,模块级清单待拆解,Module,app.ui_compat.dw,extensions,待定,,P2,待梳理,,C2-DW资源待确认
M024,app_objects.pbl,模块级清单待拆解,Module,app.services.app_objects,services,待定,,P2,待梳理,,C2-公共对象待确认
M025,base_dwsrv.pbl,模块级清单待拆解,Module,app.services.dw_service,services,待定,,P2,待梳理,,C2-DW服务待确认
